call_type_a,call_type_b,call_type_c,ORIGIN_CALL,ORIGIN_STAND,MISSING_DATA,lon_1st,lat_1st,delta_lon,delta_lat,lon_last,lat_last
0,1,0,1,1,1,-8.610633,41.145678,-0.021627000000000507,0.018747000000004732,-8.63226,41.164425
0,0,1,1,1,1,-8.649315,41.154363,0.029132999999999853,-0.008117999999996073,-8.620182,41.146245
0,1,0,1,1,1,-8.613945,41.141241,0.0025559999999984484,0.006515999999997746,-8.611389,41.147757
1,0,0,1,1,1,-8.574273,41.158242,-0.024029999999999774,-0.009647999999998547,-8.598303,41.148594
0,1,0,1,1,1,-8.612658,41.145984,-0.028125000000001066,0.013787999999998135,-8.640783,41.159772
0,0,1,1,1,1,-8.610849,41.166657,0.0,0.0,-8.610849,41.166657
1,0,0,1,1,1,-8.612856,41.165658,-0.006911999999999807,-0.015822000000000003,-8.619768,41.149836
0,0,1,1,1,1,-8.677629,41.153913,0.01341899999999896,0.0027720000000002187,-8.66421,41.156685
1,0,0,1,1,1,-8.571447,41.157792,-0.08147700000000135,-0.0042389999999983274,-8.652924,41.153553
0,0,1,1,1,1,-8.612073,41.148036,0.009486000000000772,0.007623000000002378,-8.602587,41.155659
0,1,0,1,1,1,-8.609607,41.160339,0.011502000000000123,-0.012258000000002767,-8.598105,41.148081
0,1,0,1,1,1,-8.630694,41.154948,0.025254000000000332,-0.0019889999999946895,-8.60544,41.152959
0,1,0,1,1,1,-8.610831,41.145597,0.013508999999999105,0.0059309999999968,-8.597322,41.151528
1,0,0,1,1,1,-8.586045,41.175333,0.0,0.0,-8.586045,41.175333
0,1,0,1,1,1,-8.639541,41.159745,0.03245399999999954,-0.013617000000003543,-8.607087,41.146128
1,0,0,1,1,1,-8.638443,41.170887,-0.0051480000000001525,-0.010314000000001045,-8.643591,41.160573
1,0,0,1,1,1,-8.644131,41.158944,0.037025999999999115,-0.012932999999996753,-8.607105,41.146011
0,0,1,1,1,1,-8.609436,41.177196,-0.006750000000000256,-0.02997900000000442,-8.616186,41.147217
0,0,1,1,1,1,-8.629065,41.163534,0.01937700000000042,-0.0023130000000008977,-8.609688,41.161221
0,1,0,1,1,1,-8.673939,41.154201,0.03871800000000114,0.07535699999999679,-8.635221,41.229558
0,0,1,1,1,1,-8.612694,41.148225,0.011889000000000038,0.002853000000001771,-8.600805,41.151078
0,1,0,1,1,1,-8.611029,41.145633,0.0008370000000006428,0.00481500000000068,-8.610192,41.150448
0,0,1,1,1,1,-8.612937,41.18139,-0.005660999999999916,-0.027782999999999447,-8.618598,41.153607
0,0,1,1,1,1,-8.610066,41.152959,-0.060273000000000465,0.08499599999999674,-8.670339,41.237955
0,0,1,1,1,1,-8.683416,41.159124,0.05690699999999893,0.01767600000000158,-8.626509,41.1768
0,1,0,1,1,1,-8.585649,41.14863,0.01980000000000004,0.02614499999999964,-8.565849,41.174775
0,0,1,1,1,1,-8.611389,41.146902,0.00962100000000099,0.010764000000001772,-8.601768,41.157666
0,1,0,1,1,1,-8.654679,41.173623,0.026082000000000605,-0.002186999999999273,-8.628597,41.171436
0,1,0,1,1,1,-8.630721,41.154867,0.01780199999999965,0.002159999999996387,-8.612919,41.157027
0,0,1,1,1,1,-8.584092,41.160519,0.0002790000000008064,0.0024569999999997094,-8.583813,41.162976
